Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
Technological transformation in the Third World - Volume I: Asia / Surendra J. Patel, ,"Patel, Surendra J.", ,Economics,"E. : The United nations University, 1993","NV00190;""NV06532"""
Technology and market structure: Theory and history / John Sutton, ,"Sutton, John", ,Economics,"USA. : The MIT Press, 1989",NV00191
Conversations with leading economists / Brian Snowdon, ,"Snowdon, Brian",Howard R. Vane,Economics,"USA. : Edward elgar, 1999",NV00192
"Technological evolution, variety and the economy / Pier Paolo Saviotti", ,"Saviotti, Pier Paolo", ,Economics,"E. : Edward elgar, 1996",NV00193
Utilities reform in Europe / David Coen, ,"Coen, David",Mark Thatcher,Economics,"USA. : Nova Science Publishers Inc, 2001",NV00195
Economic organizations and social systerms / Robert A. Solo, ,"Solo, Robert A.", ,Economics,"USA. : The university of Michigan press, 2000",NV00197
"Miracle to meltdown in Asia: Business, government and society / Norman Flynn", ,"Flynn, Norman", ,Economics,"E. : Oxford university press, 1999",NV00198
The politics of the Asian economic crisis / T. J. Pempel, ,"Pempel, T. J.", ,Finance and Banking,"USA. : Cornell university press, 1999",NV00199
The downsizing of Asia / François Godement, ,"Godement, François", ,Economics,"E. : Routledge, 1999",NV00200
The subsistence perspective: Beyond the globalised economy / Maria Mies, ,Maria Mies,Veronika Bennholdt-Thomsen,Educational culture,"USA. : Zed Books, 1999",NV00201
A guide to modern economics / David Greenaway, ,"Greenaway, David","Michael Bleaney;""Ian Stewart""",Economics,"E. : Routledge, 1996",NV06507
Innovation policy in a global economy / Daniele Archibugi, ,"Archibugi, Daniele","Jeremy Howells;""Jonathan Michie""",Economics,"UK. : Cambridge University Press, 1999",NV00203
Knowlege and persuasion in economics / Donald N. McCloskey, ,"McCloskey, Donald N.", ,Economics,"E. : Cambridge University Press, 1994",NV00204
"Liberalization in the developing world: Institutional and economic changes in Latin America, Africa and Asia / Alex E. Fernandez Jilberto", ,"Jilberto, Alex E. Fernandez",Andre Mommen,Economics,"E. : Routledge, 1996",NV00205
Controlled open economies: A neoclassical approach to structuralism / David Bevan, ,"Bevan, David","Paul Collier;""Jan Willem Gunning""",Economics,"E. : Clarendon Press, 1990",NV00206
"Exploring the black box: Technology, economics, and history / Nathan Rosenberg", ,"Rosenberg, Nathan", ,Natural Sciences and Technology,"E. : Cambridge University Press, 1994",NV00207
"Economic policy, exchange rates, and the international system / W. Max Corden", ,"Corden, W. Max", ,Finance and Banking,"E. : Oxford university press, 1994",NV00208
"Innovation, economics and evolution: Theoretical perspectives on changing technology in economic systems / Peter Hall", ,"Hall, Peter", ,Economics,"E. : Harvester Wheatsheaf, 1994",NV00209
Institutional frameworks of market economies / Jerzy Hausner, ,"Hausner, Jerzy","Bob Jessop;""Klaus Nielsen""",Economics,"E. : Avebury, 1993",NV00210
Lessons of economic stabilization and its aftermath / Michael Bruno, ,"Bruno, Michael","Stanley Fischer;""Elhanan Helpman""",Economics,"USA. : The MIT Press, 1992",NV00212
"Technology and economic development: The dynamics of local, regional and national competitiveness / Edward J. Malecki", ,"Malecki, Edward J.", ,Economics,"Malaysia. : Long man, 1997",NV00214
"Technology, culture and competitiveness: Change and the world political economy / Michael Talalay", ,"Talalay, Michael","Christopher Farrands, Roger Tooze",Economics,"E. : Routledge, 1997",NV00215
The technology of transition: Science and technology policies for transition countries / David A. Dyker, ,"Dyker, David A.", ,Economics,"E. : Central European University Press, 1997",NV00216
Stabilization and structural adjustment: Macroeconomic frameworks for analysing the crisis in Sub-Saharan Africa / Finn Tarp, ,"Tarp, Finn", ,Economics,"E. : Routledge, 1993",NV00217
Dragons in distress: Asia's miracle economies in crisis / Walden F. Bello, ,Walden F. Bello,Stephanie Rosenfeld,Social political,"USA. : Penguin books, 1990",NV06508
Reconfiguring East Asia: Regional institutions and organizations after the crisis / Mark Beeson, ,"Beeson, Mark", ,Economics,"E. : Routledge Curzon, 2002",NV00222
Global futures: Shaping globalization / Jan Nederveen Pieterse, ,Jan Nederveen Pieterse, ,Educational culture,"Malaysia. : Zed Bood, 2000",NV00223
Global economic prospects and the developing countries, , , ,Economics,"USA. : The World Bank, 1999",NV00224
Principles & applications of economics / Marc Lieberman, ,"Lieberman, Marc",Robert E. Hall,Economics,"China. : South – Westerm Cengage Learning, 2010",NV00225
Economics for today / Allan Layton, ,"Layton, Allan","Tim Robinson;""Irvin B. Tucker""",Economics,"AUS. : Cengage Learning, 2009",NV00226
The evolution of economic thought. Seventh edition / Stanley L. Brue, ,"Brue, Stanley L.",Randy R. Grant,Economics,"USA. : Thomson South – Westerm, 2007",NV00227
"Economics, rational choice and normative philosophy / Thomas Boylan", ,"Boylan, Thomas",Ruvin Gekker,Economics,"E. : Routledge, 1009",NV00229
Experiments in economics: Playing fair with money / Ananish Chaudhuri, ,"Chaudhuri, Ananish", ,Economics,"E. : Routledge, 2009",NV00230
Price theory. Eighth edition / Steven E. Landsburg, ,"Landsburg, Steven E.", ,Economics,"Canada : South – Westerm Cengage Learning, 2011",NV00078
Empirical dynamic asset pricing: Model specification and econometric assessment / Kenneth J. Singleton, ,"Singleton, Kenneth J.", ,Finance and Banking,"USA. : Princeton University press, 2006",NV00079
Advanced asset pricing theory: Series in quantitative finance / Chenghu Ma, ,Chenghu Ma, ,Finance and Banking,"Singapore. : Imperial College Press, 2006",NV06502
Historical dictionary of the International Monetary Fund / Norman K. Humphreys, ,"Humphreys, Norman K.", ,Finance and Banking,"USA. : The Scarecrow Press Inc, 1999",NV00758
Understanding and using English grammar / Betty Schrampfer Azar, ,"Azar, Betty Schrampfer",Donald A. Azar,Dictionary Language,"USA. : Prentice Hall Regents, 1990",NV00759
Dictionary of the modern politics of Southeast Asia / Michael Leifer, ,"Leifer, Michael", ,Educational culture,"E. : Routledge, 1996",NV06654
Urban land tenure and property rights in Developing Countries: A review / Geoffrey Payne, ,"Payne, Geoffrey", ,Law,"UK. : Intermediate Technology Publications, 1997",NV00404
The challenge of urban Government: Policies and practices / Maria Emilia Freire, ,Maria Emilia Freire,Richard Stren,Social political,"USA. : The World Bank Institute Washington D.C, 2001",NV00405
City Bias and rural neglect: The dilemma of urban development / Michael P. Todaro, ,Michael P. Todaro,Jerry Stilkind,Educational culture,"USA. : The Population Council, 1981",NV00406
Town and hinterland in developing countries: Perspectives on rural-urban interaction and regional development / Milan Titus, ,"Titus, Milan",Jan Hinderink,Educational culture,"Netherland. : Thela Thesis, 1998",NV00407
Information and investment : A study in the working of the competitive economy / G. B. Richardson, ,"Richardson, G. B.", ,Finance and Banking,"E. : Clarendon Press, 1990",NV00384
Project analysis in developing countries / Steve Curry, ,"Curry, Steve",John Weiss,Economics,"USA. : St.Martin's Press, 1993",NV00385
World investment report 2000 : Cross-border mergers and acquisitions and development, , , ,Finance and Banking,"USA. : United nations, 2000",NV00386
World investment report 1999 : Foreign direct investment and the Challenge of Development, , , ,Finance and Banking,"USA. : United nations, 1999",NV00387
"Weak state, strong networks: The institutional dynamics of foreign direct investment in China / Hongying Wang", ,"Wang, Hongying", ,Finance and Banking,"HongKong. : Oxford university press, 2001",NV00390
"Fdi, regionalism, government policy and endogenous growth / Anthony Bende-Nabende", ,"Bende-Nabende, Anthony", ,Economics,"Singapore. : Ashgate, 1999",NV00391
Global corporations and national governments / Edward M. Graham, ,"Graham, Edward M.", ,Economics,"USA. : Institute for International economics, 1996",NV00392
Foreign investment in Russia and other Soviet successor states / Patrick Artisien, ,"Artisien, Patrick","Maksimenko, Yuri Adzhubei",Finance and Banking,"E. : Macmillan press, 1996",NV00393
Foreign investment and economic development in China: 1979-1996 / Haishun Sun, ,Haishun Sun, ,Finance and Banking,"Singapore. : Ashgate, 1998",NV00396
Foreign direct investment and multinational enterprises / Peter J. Buckley, ,"Buckley, Peter J.", ,Economics,"E. : Macmillan press, 1995","NV00398;""NV00399"""
Multinational investment and economic structure / Rajneesh Narula, ,"Narula, Rajneesh", ,Finance and Banking,"E. : Routledge, 1996","NV00400;""NV00401"""
Foreign direct investment and governments / John Dunning, ,"Dunning, John",Rajneesh Narula,Finance and Banking,"E. : Routledge, 1996",NV00402
Investment cycles in capitalist economies: A kaleckian behavioural contribution / Jerry Courvisanos, ,"Courvisanos, Jerry", ,Finance and Banking,"E. : Edward elgar, 1996",NV00403
The European Union and the Third World / Martin Holland, ,"Holland, Martin", ,Economics,"China. : Palgrave, 2002",NV00605
Standards and Apec: An action agenda / John S. Wilson, ,"Wilson, John S.", ,Economics,"USA. : Institute for International economics, 1995",NV00607
"Transitions: Essays on the Philippines and the Pacific Rim, 1986-1992 / Jose P. Leviste", ,Jose P. Leviste, ,Educational culture,"Philippines. : Solidaridad Publishing House, 1993",NV00608
Technology and innovation in the international economy / Charles Cooper, ,"Cooper, Charles", ,Economics,"E. : United Nations University Press, 1994",NV00609
Road to ASEAN-10: Japanese perspectives on economic integration / Sueo Sekiguchi, ,"Sekiguchi, Sueo",Makito Noda,Economics,"Japan : Japan center for International Exchange, 1999",NV00610
The new Asian renaissance: From Colonialism to the Post-Cold War / Francois Godemen, ,"Godemen, Francois", ,Educational culture,"E. : Routledge, 1997",NV00611
Internationalisation Strategies / George Chryssochoidis, ,"Chryssochoidis, George","Carla Millar;""Jeremy Clegg""",Economics,"E. : Macmillan press, 1997",NV00612
International Economic Organizations and the Third World / Marc Williams, ,"Williams, Marc", ,Economics,"E. : Harvester Wheatsheaf, 1994",NV00613
French and Japanese economic relations with Vietnam since 1975 / Henrich Dahm, ,"Dahm, Henrich", ,Economics,"E. : Curzom Press, 1999",NV00614
Japan and Malaysian economic development: In the shadow of the rising sun / K. S. Jomo, ,K. S. Jomo, ,Economics,"E. : Routledge, 1994",NV00615
Pacific economic relations in the 1990s: Cooperation or conflict? / Richard Higgott, ,"Higgott, Richard","R. Leaver;""J. Ravenhill""",Economics,"Singapore : Lynne rienner publishers, 1993",NV00617
Dinosaurs or Dynamos: The United Nations and the World Bank at the turn of the century / Helge Ole Bergesen, ,Helge Ole Bergesen,Leiv Lunde,Social political,"E. : Earthscan Publications Ltd, 1999",NV00618
"Regional integration: Experience, theory, and measurement / Ali M. El-Agraa", ,"El-Agraa, Ali M.", ,Economics,"E. : Macmillan press, 1999",NV00619
South East Asia in the World Economy / Chris Dixon, ,"Dixon, Chris", ,Economics,"E. : Cambridge University Press, 1991",NV00622
Where China meets Southeast Asia: Social & cultural change in the border regions / Grant Evans, ,"Evans, Grant","Chris Hutton, Kuah Khun Eng",Educational culture,"Singapore : Institute of southeast Asian studies, 2000",NV06606
National accounting and capital / John M. Hartwick, ,"Hartwick, John M.", ,Economics,"E. : Edward elgar, 2000",NV00411
"The politics of open economies: Indonesia, Malaysia, the Philippines, and Thailand / Alasdair Bowie", ,"Bowie, Alasdair",Daniel Unger,Economics,"E. : Cambridge University Press, 1997",NV00623
The future of global governance: Managing risk and cChange in the international system / Mihaly Simai, ,"Simai, Mihaly", ,Social political,"USA. : United States Institute of Peace Press, 1994",NV00624
Global development fifty years after Bretton Woods / Roy Culpeper, ,"Culpeper, Roy","Albert Berry;""Frances Stewart""",Economics,"E. : Macmillan press, 1997",NV00626
"Business systems in East Asia: Firms, markets and societies / Richard Whitley", ,"Whitley, Richard", ,Economics,"E. : Sage Publication, 1992",NV00627
Globalization and international relations theory / Ian Clark, ,Ian Clark, ,Social political,"E. : Oxford university press, 1999",NV00760
Effectiveness and reform of the United Nations Development Programme (UNDP) / Stephan Klingbeil, ,"Klingbeil, Stephan", ,Economics,"E. : Frank Cass, 1989",NV00761
The European Union and East Asia: An economic relationship / Christopher M. Dent, ,"Dent, Christopher M.", ,Economics,"USA. : Routledge, 1999",NV00762
The new global economy in the information age: Reflections on our changing world / Martin Carnoy, ,"Carnoy, Martin","Manuel Castells, Stephen Cohen...",Economics,"USA. : The Penn State University Press, 1993",NV06655
Japan's Asia policy: Regional security and global interests / Wolf Mendl, ,"Mendl, Wolf", ,Social political,"USA. : Routledge, 1995",NV00764
States and sovereignty in the global economy / David A. Smith, ,"Smith, David A.","Dorothy J. Solinger;""Steven C. Topik""",Economics,"USA. : Routledge, 1999",NV00766
Globalisation and the Asia-Pacific: Contested territories / Kris Olds, ,"Olds, Kris","Peter Dicken;""Philip F. Kelly""",Economics,"USA. : Routledge, 1999",NV00767
Politics and markets in the wake of the Asian crisis / Richard Robison, ,"Robison, Richard","Mark Beeson;""Kanishka Jayasuriya""",Finance and Banking,"E. : Routledge, 2000",NV00278
The future of capitalism: How today's economic forces shape tomorrow's world / Lester C. Thurow, ,"Thurow, Lester C.", ,Economics,"E. : Nicholas Brealey Publishing, 1996",NV00279
Prosperity & violence: The political economy of development / Robert H. Bates, ,"Bates, Robert H.", ,Economics,"USA. : Norton & Company Inc, 2001",NV00280
